Angle,Realized Gain
91.41563063,-11.41172427
95.82855756,-10.9014062
99.17629524,-10.74965321
102.5240329,-10.88000514
105.5674308,-11.27451968
108.0021491,-11.79587335
109.8934035,-12.34695071
111.6818938,-12.87419508
113.4802653,-13.35993435
115.416973,-13.8294607
117.7790648,-14.35865061
119.3641679,-14.81699004
120.1757406,-15.15762362
121.3930998,-15.66105814
122.3441616,-16.20181714
122.9147987,-16.73416858
123.6587404,-17.34766571
124.2843278,-17.96472968
124.8321394,-18.63672305
125.379951,-19.33867791
125.6842908,-19.97214937
130.5509607,-19.93460023
130.9798031,-18.63886316
131.131973,-19.20777474
131.7102186,-18.26006435
131.8928225,-17.61517899
132.1971623,-17.13722192
132.7297569,-16.4345537
133.2014836,-15.80536245
133.8710311,-15.07558621
134.4797107,-14.50234346
135.0123053,-13.98145688
136.0352252,-13.41938175
138.3926508,-13.11891762
140.3230346,-13.44268513
140.9849737,-13.96540608
141.7838656,-14.45954134
142.3164602,-14.98998196
142.696885,-15.5062826
143.4577344,-16.00653244
144.142499,-16.74754424
144.6243703,-17.3500436
145.4055091,-18.08671574
145.78376,-18.67860799
146.2728775,-19.20064106
147.2619818,-20.03910412
154.3125202,-19.85979379
154.6422217,-19.3022961
154.917298,-18.67014164
155.0226464,-17.96829653
155.3269862,-17.47963893
155.8111631,-16.81393617
156.1367739,-16.36346787
156.3091737,-15.91314599
156.9399871,-15.11196802
157.6475771,-14.4308792
158.3703841,-13.87177643
160.0007758,-13.45522003
162.0224615,-13.66311607
162.3268013,-14.13393945
162.783311,-14.62157795
163.3243595,-15.20042575
163.8702388,-15.79557911
164.15284,-16.30258048
164.4571798,-16.78053755
164.9136895,-17.36431098
164.9136895,-17.99148101
165.6238157,-18.60557262
165.674539,-19.17388973
165.8267089,-19.75439356
175.717752,-19.97642958
176.1742617,-19.3343977
176.3433393,-18.67690949
176.9959791,-17.92406766
177.7263946,-17.18359089
178.4568101,-16.56028494
